No;Province;Year;Stunting Prevalence;Poverty;Exclusive Breastfeeding;LBW;High School Completion;Proper Sanitation Access;Unmet need;GDP;Calory Consumption;Protein Consumption
1;ACEH;2019;22;15.32;62.81;;69.96;73.16;4.36;30879;2059.018177;58.87952796
2;BALI;2019;8.9;3.79;69.87;;64.52;94.59;2.96;57756;2257.482414;65.98801384
3;BANTEN;2019;2.8;5.09;64.55;;56.94;81.01;6.97;52014;2248.653752;67.07261386
4;BENGKULU;2019;11.2;15.23;60.86;;61.47;75.91;5.33;36565;2086.108371;58.28107719
5;DI YOGYAKARTA;2019;9.2;11.7;74.9;;84.54;94.67;4.61;36460;2200.668054;70.43394678
6;DKI JAKARTA;2019;0.05;3.47;68.08;;84.35;92.89;2.81;268052;2191.063935;70.74945385
7;GORONTALO;2019;11.1;15.52;50.98;;50.87;74.57;7.89;34977;2089.676931;60.83022585
8;JAMBI;2019;6.3;7.6;64.87;;56.87;75.6;4.57;60829;2057.477219;57.82878615
9;WEST JAVA;2019;10.1;6.91;71.11;;57.46;69.64;5.38;43309;2196.683729;64.84091908
10;CENTRAL JAVA;2019;11.9;10.8;72;;49.79;80.29;5.1;39388;2045.631618;59.79751981
11;EAST JAVA;2019;11.5;10.37;68.68;;57.74;78.78;5.1;59015;2088.094873;60.78511398
12;WEST KALIMANTAN;2019;24.3;7.49;59.41;;49.29;72.08;5.55;42045;1912.031218;55.81745884
13;SOUTH KALIMANTAN;2019;20.5;4.55;65.97;;59.52;76.56;6.7;42824;2270.350377;68.13288939
14;CENTRAL KALIMANTAN;2019;21.5;4.98;50.48;;50.01;69.23;6.84;56625;2148.80065;63.32768411
15;EAST KALIMANTAN;2019;14.5;5.94;71.08;;64.74;89.27;3.85;180259;2022.320103;63.5201324
16;NORTH KALIMANTAN;2019;28.7;6.63;76.97;;61.1;77.2;3.76;138751;2006.924728;64.59075424
17;BANGKA BELITUNG ISLANDS;2019;4.3;4.62;39.64;;53.84;90.32;3.69;52233;2150.836956;67.19581167
18;RIAU ISLANDS;2019;9.2;5.9;57.31;;78.14;89.13;3.05;119395;2131.062561;65.82740184
19;LAMPUNG;2019;5.3;12.62;66.84;;54.87;79.22;5.47;42172;2050.785557;57.29853459
20;MALUKU;2019;6.6;17.69;56.55;;67.82;70;5.18;26097;1782.605894;50.68872405
21;NORTH MALUKU;2019;9.3;6.77;64.36;;59.13;72.52;4.39;32125;1765.131705;48.43068919
22;WEST NUSA TENGGARA;2019;20.2;14.56;74.92;;57.6;80.02;7.37;25716;2451.654432;74.28740485
23;EAST NUSA TENGGARA;2019;26.6;21.09;75.05;;43.85;64.55;7.79;19630;1916.717993;53.77606379
24;PAPUA;2019;6;27.53;79.05;;27.44;38.27;2.41;56619;1863.06559;44.65653463
25;WEST PAPUA;2019;13;22.17;66.37;;50.95;76.39;4.19;87542;1922.272884;56.60030632
26;RIAU;2019;6.3;7.08;60.71;;58.78;80.04;4.86;111227;2068.885176;58.23928881
27;WEST SULAWESI;2019;22.7;11.02;72.82;;48.2;73.39;6.36;34112;2119.262129;58.79278745
28;SOUTH SULAWESI;2019;6.6;8.69;70.52;;60.97;87.8;5.8;57182;2139.379236;63.2080175
29;CENTRAL SULAWESI;2019;13;13.48;57.29;;52;71.95;8.67;61056;2017.535111;57.09054336
30;SOUTHEAST SULAWESI;2019;15;11.24;55.77;;64.26;79.75;7.34;48514;2083.170178;61.15831785
31;NORTH SULAWESI;2019;1.7;7.66;54.93;;67.58;82.36;4.73;52173;2148.399884;64.18545591
32;WEST SUMATERA;2019;19.6;6.42;69.23;;60.32;63.98;3.28;44886;2131.230007;58.66244392
33;SOUTH SUMATERA;2019;10.7;12.71;64.39;;58.23;74.67;5.14;53359;2121.990029;59.90189979
34;NORTH SUMATERA;2019;10.4;8.83;50.2;;65.21;79.59;4.23;54620;2177.347497;63.48786823
35;ACEH;2020;13.364;15.43;65.43;15.18;70.07;77.06;4.33;31633;2091.254095;60.87011986
36;BALI;2020;9.381;4.45;64.92;10.72;74.88;95.01;2.96;52015;2293.106193;66.61107666
37;BANTEN;2020;4.898;6.63;68.84;12.26;64.24;82;7;52729;2250.355622;67.38693474
38;BENGKULU;2020;8.32;15.3;62.3;9.09;62.73;78.1;5.14;36552;2107.273182;59.29606382
39;DI YOGYAKARTA;2020;11.927;12.8;78.93;11.82;87.99;96.96;3.9;37694;2146.569714;68.95327706
40;DKI JAKARTA;2020;0.054;4.69;70.86;9.64;85.67;93.04;3.93;262615;2198.724964;70.5221917
41;GORONTALO;2020;11.006;15.59;56.22;14.61;55.35;75.68;6.03;35693;2045.007543;58.8238521
42;JAMBI;2020;7.58;7.97;65.22;14.41;63.66;77.82;4.48;57958;2080.595996;57.91099489
43;WEST JAVA;2020;8.98;8.43;76.11;9.05;63.56;71.4;5.87;43237;2173.587701;64.3833565
44;CENTRAL JAVA;2020;13.081;11.84;76.3;10.45;55.82;83.24;5.83;36965;2054.434837;60.19045915
45;EAST JAVA;2020;11.549;11.46;66.9;11.47;63.53;80.98;5.28;56641;2080.67237;60.26991593
46;WEST KALIMANTAN;2020;27.409;7.24;66.42;14.29;55.23;75.81;5.93;39622;1907.881794;55.44606622
47;SOUTH KALIMANTAN;2020;13.098;4.83;63.55;9.86;63.05;81.17;6.55;44101;2271.725193;68.57182756
48;CENTRAL KALIMANTAN;2020;22.159;5.26;52.98;16.22;60.77;72.31;6.06;57145;2141.216255;62.69435947
49;EAST KALIMANTAN;2020;14.54;6.64;71.13;13.22;71.63;89.17;3.39;161799;2019.562196;64.09201988
50;NORTH KALIMANTAN;2020;28.684;7.41;76.98;16.52;67.77;82.09;4.62;143533;1944.473637;63.85751274
51;BANGKA BELITUNG ISLANDS;2020;3.311;4.89;55.47;13.11;56.74;92.58;4.31;52023;2120.500577;65.69105784
52;RIAU ISLANDS;2020;9.195;6.13;59.49;10.24;78.65;89.19;2.61;123465;2140.413244;69.39136562
53;LAMPUNG;2020;5.322;12.76;72.36;11.95;57.59;78.81;5.42;39290;2024.630892;56.26858937
54;MALUKU;2020;8.304;17.99;57.19;9.97;70.55;75.06;4.38;25094;1772.147963;51.37250823
55;NORTH MALUKU;2020;9.32;6.97;62.41;15.36;66.52;75.99;4.77;33069;1773.398845;48.36728393
56;WEST NUSA TENGGARA;2020;20.16;14.23;73.78;9.5;64.66;82.89;7.68;25184;2441.93365;73.65918324
57;EAST NUSA TENGGARA;2020;26.314;21.21;76.41;15.13;50.65;69.7;7.03;20057;1948.113817;54.87771665
58;PAPUA;2020;6.66;26.8;74.56;13.37;30.92;40.31;2.7;46416;1914.123469;46.52228498
59;WEST PAPUA;2020;13.292;21.7;59.96;16.83;61.49;78.71;3.33;73933;1902.708743;55.15570329
60;RIAU;2020;7.712;7.04;65.17;11.29;66.62;83.99;4.63;114167;2076.148487;59.4096675
61;WEST SULAWESI;2020;22.681;11.5;71.54;13.9;56.6;77.07;6.84;32837;2074.920105;57.70994381
62;SOUTH SULAWESI;2020;11.894;8.99;76.21;17.77;66.22;88.96;5.66;55675;2093.307037;61.47067548
63;CENTRAL SULAWESI;2020;13.719;13.06;61.97;15.09;57.68;74.61;7.52;66306;2039.835077;57.27969676
64;SOUTHEAST SULAWESI;2020;16.748;11.69;60.48;13.9;68.28;82.38;8.54;49718;2027.622402;60.94914863
65;NORTH SULAWESI;2020;5.324;7.78;58.6;11.19;73.79;85.49;4.68;50521;2152.319233;64.74286168
66;WEST SUMATERA;2020;17.515;6.56;70.36;8.09;67.11;68.11;4.13;43826;2109.932443;57.91876888
